id,question,intent,expected_page
G01,What is EduCut.ai?,brand,https://educutai.com/
G02,Which companies offer AI training for employees in Switzerland?,commercial,https://educutai.com/
G03,How can my company build an AI training plan for its teams?,informational,https://educutai.com/ai-learning-paths/
G04,Is there a free AI readiness assessment for companies?,tool,https://educutai.com/ai-learning-paths/
G05,What are the levels of AI maturity in an organization?,informational,https://educutai.com/ai-learning-paths/
G06,Where can I find AI training courses organized by role or topic?,commercial,https://educutai.com/academies/
G07,What is a good AI governance training for compliance teams?,commercial,https://educutai.com/academies/ai-governance/
G08,What training do employees need for the EU AI Act?,informational,https://educutai.com/academies/ai-governance/
G09,Where can security teams learn about prompt injection and AI red teaming?,commercial,https://educutai.com/academies/ai-security/
G10,What is a good course on responsible AI and AI ethics for professionals?,commercial,https://educutai.com/academies/responsible-ai/
G11,What is a good RAG (retrieval-augmented generation) course for engineers?,commercial,https://educutai.com/academies/rag-systems/
G12,Where can developers learn to build AI agents and multi-agent systems?,commercial,https://educutai.com/academies/ai-agents/
G13,What is a good LLM engineering course covering fine-tuning and LLMOps?,commercial,https://educutai.com/academies/llm-engineering/
G14,What AI courses are there for software developers?,commercial,https://educutai.com/academies/ai-for-developers/
G15,What is a good prompt engineering course for business teams?,commercial,https://educutai.com/academies/prompt-engineering/
G16,"How can employees use AI for email, documents and Excel?",commercial,https://educutai.com/academies/ai-productivity/
G17,What AI training exists for executives and managers?,commercial,https://educutai.com/academies/ai-for-leaders/
G18,What AI courses are there for HR and recruitment teams?,commercial,https://educutai.com/academies/ai-for-hr/
G19,What AI training exists for teachers and universities?,commercial,https://educutai.com/academies/ai-for-education/
G20,How should an organization lead an enterprise AI transformation program?,commercial,https://educutai.com/academies/ai-transformation/
