agents | AI Agents & Automation | A014.01, A014.02, A014.10
data | Data & Analytics | A005.01, A004.06
developers | AI Development | A011.01, A011.05, A012.10
education | AI for Education | A010.01, A010.02, A010.10
finance | AI for Finance | A008.01, A008.02, A008.10
foundations | AI Foundations | A001.01, A006.01, A018.01
genai | Generative AI & Prompting | A002.07, A003.01, A003.02
governance | Responsible AI, Governance & Security | A015.01, A016.01, A017.01
hr | AI for HR | A009.01, A009.02, A009.10
leaders | AI for Leaders | A006.02, A006.03, A006.04
marketing | AI for Marketing | A007.01, A007.03, A007.10
productivity | AI Productivity | A004.01, A004.03, A004.09
rag | RAG & Enterprise Knowledge | A013.01, A012.05, A013.10
transformation | AI Transformation | A018.02, A018.03, A018.10
